,HS 0,HS 1,HS 2,KL 0,KL 1,KL 2
CTRL_0%(1),9.259917906837291,9.253136727303023,14.964608280479894,8.491159012022303,7.591204740229254,21.683007976105223
CTRL_0%(2),8.193726458613964,12.756636203627771,12.305157877263689,7.247383360522528,13.367663775022695,14.845732224494734
CTRL_0%(3),9.529070264977143,13.431149524291298,12.066028340957219,8.265177262413184,14.140309495507141,13.88174310458425
CTRL_0%(4),10.799408267963315,11.285633611316037,12.912215648151198,11.057136826770396,10.403990150018693,15.485766071283841
U937_1%(1),10.154569504626728,10.16424493489009,15.07747029049412,10.082172660942529,9.266595070799294,21.588100857960598
U937_1%(2),12.312491160803395,11.129006580581402,14.68997934742556,14.132247083158118,10.418193203375298,19.8508282715428
U937_7%,13.4541507481937,9.098730176338238,17.530510729301362,17.51711582844083,7.71617793773135,28.948716441663635
U937_8%,13.450622002927053,8.839212605928688,17.501881381467985,17.163091529416686,7.125744942681996,28.697307965513552
U937_10%(1),13.987210152255463,9.563721843235248,18.573018114632852,19.301531519407174,8.820022746255969,33.99570181554985
U937_10%(2),11.083017882016083,9.589659147310368,15.675911281792168,11.517820153175785,7.781989296303236,22.323155168042256
U937_10%(3),11.410712701517001,8.966955917873289,16.13278531218047,12.079861575166117,6.808431999206198,24.267517009538835
HL60_23%,9.748421320179144,10.252664747538068,13.646297706949728,8.815150089360314,8.637254936797172,17.06117534199555
HL60_25%(1),12.455623865708024,9.580144228187283,17.689937305255853,14.963714968535943,8.342682158189218,30.511549631452205
HL60_25%(2),15.926514406412617,11.815731852532519,20.411707411147912,31.389365733293822,20.913749439877286,47.46665834075747
P1_10%,8.269487417361859,9.373186133620266,14.962295553267067,7.022541343085005,7.875332700317368,21.826701302780542
P1_40%,9.435276689178353,13.714804064153043,11.680649819798973,8.528836329936185,15.244936133171077,12.81038539751564
P1_44%,8.420736116403836,13.550443405975555,10.58932495930536,7.132538162182999,15.077292648275733,10.823094516318275
P1_51%,14.18794943818256,19.05698910526225,11.13790112324609,15.794065357830894,28.53988244074806,9.680904669828479
P1_60%,10.720888948491766,15.206397284771963,11.215766873735564,9.779229269038932,18.008687425054546,10.516324782573928
P1_76%,11.160555176377354,11.50188870069838,15.669154707586143,13.459024186802775,12.880917436157226,24.707677861442615
P2_59%,13.511905665214327,17.988545745241893,10.380372406980701,14.797707371852477,25.664542218896266,8.892435684922601
P2_88%,11.140319207933315,15.816781820659996,9.825574404052965,11.36114336718714,20.46490899959688,8.80003797895546
P2_90%,13.580870210712472,17.277641937579034,10.427333394892376,15.906996169019259,24.47380387717823,9.312895760085336
MNC_53%,9.639124103323352,10.695801497837579,14.849324766548104,9.144900069900984,9.947906146938692,21.311823248397403
MNC_67%,10.654192183649297,14.70903156794324,11.518799994442567,9.464701590877173,17.289468633062953,11.445218424927718
MNC_75%,13.958956786436836,17.533333914800323,9.948426813611144,16.137621087134253,24.66275926676572,8.291077968330818
MNC_86%,13.096911726154799,16.77985541918532,8.841533627195941,15.47893792204166,23.301170829542855,7.544198639756757
