,HS 0,HS 1,HS 2,KL 0,KL 1,KL 2
CTRL_0%(1),5.249935700384989,7.431312778118705,8.454090439408652,2.6853895692440033,4.826936609744494,7.358430515957446
CTRL_0%(2),5.19775305651132,7.790214605810913,8.79517651588709,2.7473983124679866,5.479504409001459,8.235817957668347
CTRL_0%(3),5.189608656985857,7.488736802339659,8.340040849077466,2.4792491326669612,4.82030329017874,6.942444399220283
CTRL_0%(4),5.064360715067416,7.1956821694208735,7.900802678800618,2.234601278992084,4.234503144143023,5.881844883784585
U937_1%(1),7.764383358957183,7.20467040846381,7.830847059825399,5.467684366678126,4.669999149578468,6.438102892601443
U937_1%(2),6.268956196996338,7.825878837781172,8.742817185766084,3.705018485064722,5.239207968159777,7.492847603478615
U937_7%,7.9854078827009465,5.51834175766958,6.613723220843774,5.207280728539889,2.4959979668194743,4.024442677511037
U937_8%,7.003702880564651,6.465916190390091,7.670672732791304,4.097050705517425,3.3899175181057775,5.307489050535724
U937_10%(1),6.716562397730408,5.518113352850601,6.417299882197284,3.7076200672175252,2.4489845428323505,3.797713958895258
U937_10%(2),11.070926284748124,7.543058417934415,8.033193265894734,10.182012568845565,4.725392244775363,5.711435787401706
U937_10%(3),9.968582244240665,7.433942579765825,8.339229612124289,8.777936484006558,4.864315384725137,6.572249005735183
HL60_23%,6.146588958171632,7.1144054223800985,7.895050157384374,3.456237409037774,4.267529363711649,6.146751203986109
HL60_25%(1),6.521440205088223,5.969801113414391,6.7639212167607665,3.5973770422340596,2.8937534083129095,4.2391078452484
HL60_25%(2),10.484004062075577,7.281171816641408,8.291334398738318,9.403638127265177,4.47359877208689,6.330347319533753
P1_10%,6.735252866489905,7.023782447324918,7.841777175880015,3.9968296595235198,4.138934990443024,5.846259127420089
P1_40%,6.881879281801917,6.350819508900476,6.89894694867877,3.868589065603324,3.2346222884127003,4.355190826283341
P1_44%,10.04942022861683,6.803715158660257,7.038995453215552,8.253608590196604,3.8908108231702583,4.506561782429965
P1_51%,9.309118449544497,6.780518085799133,6.966850975598285,6.914372010851504,3.5958424538866773,4.122908123918892
P1_60%,6.592728933897292,7.160386092066514,7.2211083720351965,3.5642092818784317,4.178051602592328,4.767429502334678
P1_76%,8.807347265064697,6.801402804090657,7.715875567359131,6.478905378988591,3.7889071597012656,5.358557232392785
P2_59%,7.295614630017905,5.7855131673612155,6.107935465021654,4.251692996048315,2.7116047235130893,3.3890093776654298
P2_88%,9.45116862289628,7.1175839560231715,6.739742589242701,6.887318697547046,3.8780685535728185,3.7846263204641035
P2_90%,8.68497418592951,7.399218152724541,7.145498537515348,5.9019437695100025,4.302378156906958,4.423433435332372
MNC_53%,6.6033067392075315,5.963442913570845,6.789223601303906,3.672839785940088,3.0068218440242576,4.518134162523051
MNC_67%,11.28345685830962,8.222318035646813,7.793234430191795,10.177686403917857,5.2849699015314,5.085849911235076
MNC_75%,7.0436492484430415,8.84098368821371,8.843704914124308,4.009982004177853,6.377190224223985,6.809947159891618
MNC_86%,13.12638944913099,10.171812091357419,9.83703167958782,15.089893251746178,8.797853615865856,8.846325545525254
