,HS 0,HS 1,HS 2,KL 0,KL 1,KL 2
CTRL_0%(1),4.454560771403862,8.487797259903061,14.513607082782292,1.9929609297856845,6.101612151119832,21.225644901903856
CTRL_0%(2),5.460451612638256,9.69958105517661,14.640606587792973,3.316334679483621,8.37601945226855,23.68597746196409
CTRL_0%(3),4.810729187778981,9.590973793093617,14.099633223278797,2.443711241484169,7.919826025490592,20.979046382697124
CTRL_0%(4),5.873157999510642,8.080604089103703,16.15883519907727,3.405634272526207,5.74710657781264,28.14175183930602
U937_1%(1),8.390924119485865,6.909043795864324,14.338249577375624,6.4176887545282195,4.691543119534908,21.744026150053823
U937_1%(2),8.349744132037001,6.966513958947582,15.974832615092799,6.14728036339728,4.494175365305843,28.048474201197937
U937_7%,11.66811151717607,5.378269569200684,15.146480260457684,12.150917367830548,2.7238963491015253,21.17546546243034
U937_8%,10.185677193490868,5.910539611368115,15.962881095934625,8.835792711412607,2.825256409753766,25.06422048575557
U937_10%(1),11.32454428617728,5.837262607877926,15.36788779902543,11.050106219057591,2.9858848313122692,22.006005164467126
U937_10%(2),10.652753523712121,6.9841904486314075,13.45156055818641,10.409728982351151,4.543103410206902,17.14620664810738
U937_10%(3),10.16510537690628,5.8891472166755845,14.836147273665574,9.723862027737368,3.060889043594772,21.15529384352734
HL60_23%,5.859692874623021,6.666307929859971,13.96304663559992,3.1706109648990575,3.9091669145273586,19.53743490778964
HL60_25%(1),8.3788533435438,6.252319078981222,16.076175328522584,6.659438596565731,4.106451788898211,29.12050614739874
HL60_25%(2),15.549399488893556,10.292999490964094,20.254432139333673,26.62132897028019,13.015878945223777,54.270272895316964
P1_10%,7.707843377647266,5.873843245498504,13.374502671330232,4.734830067137808,2.723810444295425,16.93781633150961
P1_40%,8.304415681268468,8.27269706173703,11.841930478193918,5.989579308501037,5.757544743710483,13.697194499028285
P1_44%,14.484156097014573,13.339707833697709,10.479469117398727,17.29353656776456,13.82172738539745,10.915256086729693
P1_51%,16.247404076566454,16.137832134934545,9.452347133545693,18.832200653675706,18.63114959842595,7.35337006409356
P1_60%,10.351217914055562,11.519383933568383,9.879764061169338,7.727745821385134,10.019625917433286,8.808293353860947
P1_76%,9.23329564874264,7.646850453712041,14.259768818724806,8.845812209458229,6.483266359804517,24.754976660200764
P2_59%,16.29936701911782,17.080032596960557,9.584785212573982,19.219539873182455,21.775764042123257,8.067758872469673
P2_88%,14.734100700538512,13.298644966306748,10.019384688517027,16.751915327832087,13.013542868160664,9.385691331846855
P2_90%,13.786203952758637,15.280330336399121,9.758174138442783,14.028422758787535,17.885325470959977,8.724948707320532
MNC_53%,8.043448816765732,7.636536092332111,13.423754965448692,6.414146899350604,5.865210425911225,20.569406743863148
MNC_67%,15.20335707699786,13.357421354427778,10.038304804923683,18.43035191122206,12.931285670514807,8.926915762220426
MNC_75%,14.087144673714429,16.03911550572015,9.662254132274409,14.228802507745996,19.54732100476036,7.615641060621247
MNC_86%,18.221283021051597,17.204387922737876,12.41508341723293,27.231726790470816,22.193376017918045,15.55405266980252
