,HS 0,HS 1,HS 2,KL 0,KL 1,KL 2
CTRL_0%(1),5.701370232356592,11.50525067297536,11.81101530985373,3.112639430538121,11.76782615481637,11.830101928269938
CTRL_0%(2),6.129176221144267,12.681785921610723,9.99133397890502,4.11574879897475,14.473866112694829,9.489127130429653
CTRL_0%(3),7.500591972102274,11.915757710612981,9.824093459718112,5.485711601111735,11.963698257192005,8.593150583270646
CTRL_0%(4),9.239963872688207,9.523924917360677,11.01996711105032,7.418461657720705,7.564179858155738,10.0112689941245
U937_1%(1),12.561967989517717,9.476298773851484,12.83373200410055,14.125605334484957,8.369590817466866,15.688819356675303
U937_1%(2),11.9167190938601,8.87454238290897,12.970554711879636,11.733965336806005,6.830381403554163,14.870628388793715
U937_7%,11.658989670100949,8.75610849071163,13.807331569853112,11.147427031088698,6.361125831144285,16.014017506422483
U937_8%,13.524739713005662,9.493736352778123,16.073122164158235,15.506747206498263,7.797284964240398,23.12199042615229
U937_10%(1),13.716504194586426,9.761532962550238,15.107628447763878,15.376985088812917,7.96095558006583,19.53569790478592
U937_10%(2),13.049453047671317,9.870658012694047,12.936511936094,14.332767233342315,8.127257788230493,13.909334766819885
U937_10%(3),12.979449194334673,9.054366845298354,14.033348585579764,14.035166309841605,7.0069544412079106,17.263556891987257
HL60_23%,9.96895364489023,9.647655751013549,11.780432752556587,9.129198742779868,8.218998468199057,12.754725295422855
HL60_25%(1),11.331098974558984,8.860331305837922,13.724525460093643,11.202315384337814,6.938906957167159,16.957449983404324
HL60_25%(2),15.139577801218739,10.99907236339313,18.176107075478942,20.582408261514903,11.183015728593467,31.46232150447757
P1_10%,10.075120211798582,9.11304052038291,11.22699167295415,8.66503695002427,6.839328255876671,10.565057528173911
P1_40%,9.130199279964707,11.382227464548611,10.149028972672651,7.849589925782272,10.85978217935208,9.326922362599444
P1_44%,10.927267814400292,13.19529076592742,9.12255052621871,10.362598462009842,14.832801478627491,7.216613984560182
P1_51%,12.468872733586762,13.958063261592958,9.780578727278947,13.168944934862042,16.672653917691083,8.068046130602108
P1_60%,12.962916672250765,11.669960062804645,10.699612187727793,14.359580178018836,11.34426038603968,9.469926640400688
P1_76%,10.943032196112284,10.075912861895992,11.326490128506407,11.178550774556625,8.944234060730887,11.480175703837501
P2_59%,12.722088086678427,15.67755210880758,9.784420918871643,14.50516802253641,21.3890180457645,8.627034480005978
P2_88%,11.775666134417023,14.144483717995538,10.091446558579053,12.950669740728117,17.60303056569658,9.51980544819881
P2_90%,13.189622822419606,13.959674087688398,9.900701704550608,15.757279174289117,17.152944787336114,9.495914040405996
MNC_53%,8.762292587260275,12.682944902995178,10.944933789576737,6.306624656486089,12.958350975075964,9.560205424439596
MNC_67%,12.14436092223848,12.944003882702928,10.787608814422658,13.111839478717927,14.070477010664563,9.774779085984715
MNC_75%,10.92137097143664,12.252946578685016,8.876217993592002,10.296417207041872,12.71804812929366,7.978485568142882
MNC_86%,12.751944775384391,15.885978633731895,10.365494849544586,15.161811602381034,23.501559528372933,10.560628609600402
